Character Name,Nationality,Ethnicity,Age,Born,Died,Eye color,Hair color,Skin color,Pronouns,Allies,Enemies,Weapon of choice,Profession,Position,Affiliation,First appearance,Last appearance,Voiced by
Tarrlok,Northern Water Tribe,Water Tribe,37,133AG,170 AG,Light blue,Brown,Brown,He/him,"His task force,Korra,Mako","Noatak,Equalists,Bolin,Asami Sato,Tenzin,Lin Beifong,United Republic Council,Council page,Metalbending Police Force",Water,Councilman(formerly),Bloodbending master(formerly)Chairman of the United Republic Council(formerly)Northern Water Tribecitizen(formerly)Northern Water Tribe representative on the United Republic Council(formerly)United Republic fugitive(formerly)United Republic traitorUpper-class United Republic citizen(formerly)Waterbending master(formerly),Northern Water TribeTarrlok's task forceUnited Republic Council(formerly),"""The Voice in the Night""","""Endgame""",Dee Bradley BakerNicholas Braico(ages 3-7)Zach Callison(age 11)
Tashi,Southern Air Temple,Air Nomad,N/A,N/A,0AG,Gray,White,Light,He/him,"Pasang,Gyatso, Air Nomads,Aang","Fire Nation,Sozin",Air,Monk,Airbending masterCouncil ElderHigh Monk,Air NomadsCouncil of Elders,"""The Southern Air Temple""(flashback only)",The Rift Part One(flashback only),James Hong
Tashi (nonbender),"Republic City,United Republic",Republicans,8,N/A,N/A,Gray,White,Light,He/him,Badgermole Triad,N/A,N/A,Mobster,N/A,Badgermole Triad,Avatar Legends: The Roleplaying Game-Republic City(only appearance),N/A,N/A
Tax collector,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,Fire Nation,"Haru,Haru's mother,Earth Kingdom",Fire,N/A,Tax collector,Fire Nation,"""Imprisoned""(only appearance)",N/A,Kevin Michael Richardson
Tayagum,"Orca Islands,Water Tribes",Water Tribe,44,N/A,N/A,Blue,Black,Brown,He/him,"AvatarYangchen,Ayunerak,Kavik,Jujinta","Chaisee,Kalyaan,Shang merchants,Thapa,ZongduHenshe",Water,WarriorInnkeeper,N/A,ChiefOyaluk(formerly)Water TribesYangchen's network,"""Breaking In""","""The Path Forward""",N/A
Te Sihung,Earth Kingdom,Earth Kingdom,14,310BG,N/A,Green,Black,Tan,She/her,"Earth Kingdom,Jianzhu,Kyoshi","Lao Ge,Yellow Necks",Earth,Official,Governor in the Eastern ProvincesEarth Kingdomnoble,Earth KingdomTe family,"""The Raid""(only appearance)",N/A,N/A
Teek,"Grey Wolf Village,Southern Water Tribe",Water Tribe,N/A,N/A,N/A,Bright,Black,Brown,She/her,"Aniki, Minaq",N/A,Water,N/A,N/A,N/A,Avatar Legends: The Roleplaying Game-Quickstart(only appearance),N/A,N/A
Tei Eesoni,Fire Nation,Fire Nation,80,N/A,N/A,Brown,White,Light,She/her,"Jasmine Islanders,Hei-Ran, Fire Nation",Fifth Nation,Fire,Inventor,N/A,Fire Nation,Uncle Iroh's Adventure Guide(only appearance),N/A,N/A
Teiin,N/A,Unknown,60,N/A,N/A,Brown,White,Brown,He/him,"ZongduHenshe,Noehi","AvatarYangchen,Earth KingFeishan, his former workers",N/A,Shang merchant,N/A,Shang merchants,"""Voices of the Present""",The Legacy of Yangchen,N/A
Tengfei,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,N/A,N/A,Fire,PirateSoldier(formerly),Captain of theRenegade Phoenix,Crimson Sails ArmadaFire Army(formerly),Adventure Booklet:The Pirates of Crimson Sails(only appearance),N/A,N/A
Tenzin,"Republic City,United Republic",Air Nomad-Water Tribe,51,119AG,N/A,Gray blue,White,Light,He/him,"Team Avatar,Oogi,Air Acolytes,Order of the White Lotus,United Republic Council,Saikhan, Lin Beifong,Iroh,Tonraq,Zuko,Suyin Beifong,Air Nation, more ...","Equalists,Tarrlok,Unalaq,Vaatu,Red Lotus,bison rustlers,Earth Empire, more ...",Air,Airbending instructorSpiritual mentorCouncilman(formerly),"Air Nation representative on the United Republic Council[6](formerly)Leader of the Air NationAirbending masterInterim chairman of the United Republic Council, during thebattle for Republic City",Air AcolytesAir NationAir Temple IslandUnited Republic Council(formerly),"""Welcome to Republic City""","""Cat-Owl's Cradle""",J. K. Simmons
Teo,Earth Kingdom,Earth Kingdom,13,87AG,N/A,Green,Black,Light,He/him,"Team Avatar,Haru,The Duke,Hakoda, more ...",Fire Nation,Earth,N/A,N/A,Earth Kingdom,"""The Northern Air Temple""",Avatar: The Last Airbender: Quest for Balance,Daniel Samonas(inAvatar: The Last Airbender)Alex Felten(inQuest for Balance)
Than,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,Team Avatar,"Fire Nation,Rough Rhinos",Earth,N/A,N/A,Earth Kingdom,"""Zuko Alone""","""The Awakening""(flashback only)",Brian Tochi
Than's sister,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Brown,Light,She/her,Team Avatar,"Fire Nation,Rough Rhinos",Earth,N/A,N/A,N/A,"""The Serpent's Pass""","""Appa's Lost Days""",N/A
Thapa,Fire Nation,Fire Nation,N/A,N/A,Year 17 of the Yangchen Era,Golden,Black,Light,She/her,"ZongduHenshe, ZongduChaisee,Yingsu,Xiaoyun","AvatarYangchen,Tayagum,Akuudan,Mingyur",Fire,N/A,Human weapon,Shang merchants,"""Last Chances""","""The Burial""",N/A
Tho,Foggy Swamp Tribe,Water Tribe,N/A,N/A,N/A,Blue,Brown,Brown,He/him,"Foggy Swamp Tribe,Due,Huu,Team Avatar,Slim, more ...",Fire Nation,Water,N/A,Waterbending master,Foggy Swamp Tribe,"""The Swamp""","""Sozin's Comet, Part 4: Avatar Aang""",Carlos Alazraqui
Thod,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,White,Brown,He/him,"Gilak,Lirin,his disciples","Hakoda,Team Avatar,Malina,Maliq,Northern Water Tribe,KingKuei",Water,Chi-blocking instructor,Chi-blocking masterGilak's second-in-command,Southern Water Tribe,North and South Part One,North and South Part Three,N/A
Thod's disciples,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,He/him,"Thod,Gilak, Southern Water Tribe nationalists","Hakoda,Team Avatar,Maliq,Malina,Northern Water Tribe,Earth KingKuei, non-Southern Water Tribesmen residing in the South",Water,N/A,Thod's disciples,Southern Water Tribe,North and South Part One,North and South Part Three,N/A
Ticket woman,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,Earth Kingdom,Fire Nation,Earth,Monorail ticket checker,N/A,Earth Kingdom,"""The Drill""(only appearance)",N/A,Roberta Farkas
Tien,Spirit World,Spirits,N/A,N/A,N/A,Yellow,Brown,Greenish yellow,It/its,Air Nuns,N/A,N/A,N/A,Spirit,Spirit World,Rebels & Refugees(only appearance),N/A,N/A
Tiger-Monkey,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,N/A,N/A,Fire,Spy,Firebending masterIndependent investigator,N/A,An Urgent Request(only appearance),N/A,N/A
Tiqriganiannig,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Brown,Brown,She/her,Qanitt,N/A,Water,Business magnate,N/A,Southern Water Tribe,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Toklo,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,He/him,"Kallika,Ginkgo,Ziyi,Chihiro",N/A,Water,Warrior[2]Technologist,Talekeeper,N/A,Avatar Legends: The Roleplaying Game-Storm Over Linsho(only appearance),N/A,N/A
Tokuga,N/A,Unknown,N/A,N/A,N/A,"Brown(formerly)One brown, one black and red",Brown,"Tan(formerly)Half tan, half gray with red scales",He/him,Triple Threat Triad,"Team Avatar,Republic City Police,spirits",Hook swords,Mobster,Leader of the Triple Threat Triad,Triple Threat TriadKeum Enterprises(formerly),Turf Wars Part One,Avatar Legends: The Roleplaying Game-Republic City,N/A
Tom-Tom,Fire Nation,Fire Nation,2,98AG,N/A,Gray,Black,Light,He/him,Team Avatar,Fire Warriors,Fire,N/A,Governor's son(formerly),Fire Nation,"""Return to Omashu""",Smoke and Shadow Part Three,Tara Strong
Tong,"Chin Village,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,"Chin Village,Aang","Fire Nation,Rough Rhinos",Earth,Chin Village leader,Mayor,Earth Kingdom,"""Avatar Day""(only appearance)",N/A,James Hong
Tonraq,"Agna Qel'a,Northern Water Tribe",Water Tribe,N/A,N/A,N/A,Steel blue,Dark brown,Brown,He/him,"Southern Water Tribe,Team Avatar,Tenzinand his family,Katara,Sokka,Southern Water Tribe rebels,Suyin Beifong, more ...","Dark spirits,Unalaq,barbarians,Red Lotus",Water,WarriorTribal chief,Chief of the Southern Water TribeGeneralof the Northern Water Tribe military(formerly)Heir to the Water Tribe Chiefdom(disinherited)Leader of the Southern Water Tribe rebels(disbanded)Water Tribe fugitive(formerly)Waterbending master,Council of ChieftainsNorthern Water Tribe(formerly)Southern Water TribeSouthern Water Tribe rebels(disbanded),"""Welcome to Republic City""",Uncle Iroh's Adventure Guide,"Carlos Alazraqui(in ""Welcome to Republic City"")James Remar(in BooksTwothroughFourofThe Legend of Korra)"
Toph Beifong,"Gaoling,Earth Kingdom",Earth Kingdom,12,88AG,N/A,Sea foam green(glazed over),Black,Light,She/her,"Team Avatar,Metalbending Police Force,Iroh,Order of the White Lotus,badgermoles,Team Beifong,Sun,Korra, more ...","Ozai,Azula,Yakone,Long Feng, theDai Li,Yu,Xin Fu,Combustion Man,Kunyo,Earth Empire, more ...",Earth,Earthbending instructorMetalbending instructorOwner of theBeifong Metalbending AcademyPolice officer(formerly)[14]Politician(formerly)[15]Professional earthbending fighter(formerly),Chief of PoliceinRepublic City(retired)Earthbending masterFounder of the Metalbending Police ForceGubernatorial candidate for theState of Gaoling(formerly)Inventor of metalbendingMatriarch of theBeifong familyMetalbending masterProprietor of the Beifong Metalbending AcademyRepresentative of theEarthen Fire Industries,Beifong familyEarth KingdomEarth Rumble(formerly)Earthen Fire IndustriesMetalbending Police ForceTeam AvatarTeam Beifong,"""The Swamp""(vision)",I Am Toph,Jessie Flower(inAvatar: The Last Airbender)Kate Higgins(in BooksOneandThreeofThe Legend of Korra)Philece Sampler(inBook Four: BalanceofThe Legend of Korra)Vivian Vencer(inQuest for Balance)Dionne Quan(in upcomingAvatar Studios film)
Tough criminal,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,N/A,"Fire Nation,warden",Fire,Criminal,Prisoner,N/A,"""The Boiling Rock, Part 2""(only appearance)",N/A,N/A
Town authority,"Fire Fountain City,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Gray,Light,He/him,"Combustion Man,Ozai, Fire Nation, Fire Fountain City, more ...","Katara,Toph, more ...",Fire,Mayor of Fire Fountain City,N/A,Fire Nation,"""The Runaway""(only appearance)",N/A,Joe Alaskey
Toz,Fire Nation,Fire Islander,N/A,N/A,N/A,Brown,Black,Light,He/him,N/A,Kemurikage,Fire,N/A,Warlord,N/A,Smoke and Shadow Part Two(only appearance),N/A,N/A
Toza,"Republic City,United Republic",Earth Kingdom,N/A,N/A,N/A,Green,White,Light,He/him,"Mako,Bolin","Triple Threat Triad,Lightning Bolt Zolt,Shady Shin",Earth,Pro-bender(formerly)Pro-bending gym manager,Black Quarry Boar-q-pinesearthbender and captain[2](formerly),Black Quarry Boar-q-pines(formerly),"""A Leaf in the Wind""",Republic City Hustle: Part 3,George Coe
Tsemo,Air Nomad,Air Nomad,N/A,N/A,N/A,Gray,Black,Light,She/her,"Tenzin,Asami Sato,Rinzen",N/A,Air,N/A,N/A,N/A,Avatar Legends: The Roleplaying Game Core Book,Adventure Booklet:The Burning Fuse,N/A
Tsering,Western Air Temple,Air Nomad,70,N/A,N/A,Gray,White,Light,He/him,"AbbessDagmola,Jetsun, Avatar Yangchen",N/A,Air,LibrarianNun,N/A,N/A,"""Voices of the Past""","""Dreams Within Dreams""",N/A
Tu,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,Wu,Earth Empire,Earth,Fruit store vendor,N/A,N/A,"""The Earth Queen""",Ruins of the Empire Part One,Greg Cipes
Tu (criminal),Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Light brown,Brown,Light,He/him,"Jiangand her crew,Oh",N/A,Earth,Criminal,Manager of a storage for stolen goods,N/A,Katara and the Pirate's Silver(only appearance),N/A,N/A
Tulok,Fifth Nation,Water Tribe,N/A,N/A,Between 312 and 296BG,Blue,Brown,Brown,She/her,Fifth Nation,"Earth Kingdom,Jianzhu,Kelsang",Water,Pirate,Pirate lordWaterbending master,N/A,"""The Test""(flashback only)(only appearance)",N/A,N/A
Tuo,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,Earth Kingdom,N/A,Earth,Official,Governor,Earth Kingdom,"""Interlude: The Man From The Spirit World""(mentioned only)(only mention)",N/A,N/A
Tuyen,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Brown,Dark brown,Tan,She/her,Meelo,N/A,Earth,Flower seller,N/A,N/A,"""The Calling""(only appearance)",N/A,Caitlin Carmichael
Two Toed Ping,"Republic City,United Republic",Fire Nation,N/A,N/A,N/A,Brown,Black,Pale,He/him,"Triple Threat Triad,Hundun,dark spirits","Metalbending Police Force,Team Avatar,Agni Kai Triad,Red Monsoon Triad",Fire,Mobster,Triple Threat Triad member,Triple Threat Triad,"""Welcome to Republic City""",Turf Wars Part Two,Richard Epcar(Book One: Air)S. Scott Bullock(Book Two: Spirits)Tim Dadabo(The Legend of Korravideo game)
Ty Lee,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown-gray,Brown,Light,She/her,"Mai,Team Avatar,Fire Nation circus,Kyoshi Warriors,Iroh,Bosco, more ...","Azula,New Ozai Society,Fire Warriors",Fire,Chi-blocking instructorCircus acrobat(formerly)Kyoshi Warrior,Chi-blocking masterHigh class Fire NationcitizenImprisoned Fire Nation traitor(amnestied)Kyoshi Warrior,Azula's team(formerly)Fire NationFire Nation circus(formerly)Kyoshi WarriorsRoyal Fire Academy for Girls(formerly)Ty sisters,"""Return to Omashu""",Azula in the Spirit Temple,Olivia Hack(inAvatar: The Last Airbender)Vivian Vencer(inQuest for Balance)
Tycho,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,Iroh,N/A,Earth,N/A,N/A,N/A,"""City of Walls and Secrets""","""The Tales of Ba Sing Se""",Quinton Flynn
Tyro,"Mining village,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,White,Light,He/him,"Team Avatar,Boqin,Hakoda, more ...","Fire Nation,Ozai,the warden,Juro,Goro",Earth,N/A,ResistanceleaderFire Nation prisoner(formerly),"Earth KingdomHakoda's forces""Team Tyro""","""Imprisoned""",Avatar: Generations,Kevin Michael Richardson
Ugyen,Air Nomads,Air Nomad,N/A,N/A,N/A,Gray,Brown,Light,He/him,N/A,N/A,Air,Monk,Airbending masterAir Nomad delegate at theFour Nations Summit & Technological Symposium,N/A,Adventure Booklet 2:Fire & Brimstone(only appearance),N/A,N/A
Ujurak,"Long Stretch,Northern Water Tribe",Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,AvatarYangchen,N/A,Water,Accountant,Accountant at Nuqingaq and Partners,Nuqingaq and Partners,"""Forgiveness""","""Coming to the Table""",N/A
Ukano,Fire Nation,Fire Nation,N/A,N/A,N/A,Tawny,Gray,Light,He/him,"Ozai,New Ozai Society","Earth Kingdom,Yung,Bumi,Omashu Resistance,Zuko,Azula,Fire Warriors",Fire,Government official(formerly)Rebel leader(formerly; incarcerated),Former governor ofNew Ozai(deposed)Leader of the New Ozai Society(formerly)Co-leader ofSafe Nation Society(formerly),Fire NationNew Ozai Society(formerly)Safe Nation Society(formerly),"""Return to Omashu""",Smoke and Shadow Part Three,Paul Eiding
Ukiuk,"Agna Qel'a,Northern Water Tribe",Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,He/him,"Qi Wei,Pushi,Sukaya,Baljin,Guiding Wind",Emerald,Water,SoldierOutlaw(formerly),Jasmine Island protector,Jasmine Island protectors,Uncle Iroh's Adventure Guide(only appearance),N/A,N/A
Ume,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,N/A,N/A,Earth,InventorArchitect,N/A,N/A,Adventure Booklet 4:Air & Wind(only appearance),N/A,N/A
Ummi,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Gray,Brown,Light,She/her,"Kuruk, Southern Water Tribe",Koh,Water,N/A,N/A,Southern Water Tribe,"""The Siege of the North, Part 2""(face)","""Sozin's Comet, Part 2: The Old Masters""(flashback only)",N/A
Unalaq,"Agna Qel'a,Northern Water Tribe",Water Tribe,N/A,N/A,171AG,Light blue,Brown,Brown,He/him,"Northern Water Tribe,barbarians,Hotah,Vaatu,Wan Shi Tong,dark spirits","Team Avatar,Varrick,Tonraq,Senna,Southern Water Tribe rebels,Jinora,Tenzin,Raava",Water,Tribal chief,Chief of the Northern and Southern Water Tribes[4]Dark AvatarKorra's spiritual mentor(formerly)Waterbending master,Northern Water TribeSouthern Water TribeRed Lotus(formerly)Vaatu,"""Rebel Spirit""","""Remembrances""(flashback only)",Adrian LaTourelle
Underground earthbending fighter,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,N/A,N/A,Earth,Underground bending fighter,N/A,N/A,Toph Beifong's Metalbending Academy(only appearance),N/A,N/A
Underground waterbending fighter,Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Tan,He/him,N/A,N/A,Water,Underground bending fighter,N/A,N/A,Toph Beifong's Metalbending Academy(only appearance),N/A,N/A
Unnamed Earth Kingdom boys,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Brown,Tan,He/him,N/A,Katara,Earth,N/A,N/A,N/A,"""Water War""(only appearance)",N/A,N/A
Unnamed Fire Nation boy,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,"Appa, Fire Nation",N/A,Fire,N/A,N/A,N/A,"""Appa's Lost Days""(only appearance)",N/A,Zach Tyler Eisen
Ursa,"Hira'a,Fire Nation",Fire Nation,39,c. 64AG,N/A,Gold,Dark brown,Light,She/her,"Mother of Faces,Iroh,Team Avatar","Azulon, Ozai",Fire,Master herbalistTheater actress(formerly),"Princess of the Fire Nation(formerly)Fire Nation traitor(formerly, amnestied byFire LordZuko)",Fire NationFire Nation Royal FamilyHira'a Acting Troupe(formerly),"""Zuko Alone""(flashback only)",Ashes of the Academy,Jen Cohn
Utor,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,"Rough Rhinos, Fire Nation,Fire LordOzai, more ...",Team Avatar,Fire,MercenarySoldier(formerly),Rough Rhino,Fire Army(formerly)Rough Rhinos,The Rift Part Two(only appearance),N/A,N/A
Uyanga,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,She/her,Jianjun,Haoran,Fire,Military official,Firebending masterGeneral,Fire Army,Rebels & Refugees(only appearance),N/A,N/A
Uzuku Yuyan,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,She/her,N/A,N/A,Fire,N/A,Legendary markswoman,N/A,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Vaatu,Spirit World,Spirits,N/A,N/A,N/A,Orange,Dark Red,Dark Red and Orange,He/him,"Dark spirits,Unalaq","Raava,Wan,Korra","Energy beams, tendrils, vines",N/A,Spirit of chaos and darknessDark Avatar Spirit(formerly; after merging with Unalaq),Spirit World,"""Beginnings, Part 1""(vision)","""Remembrances""(vision)",Jonathan Adams
Vachir,EasternFire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,"Rough Rhinos,Yuyan Archers, Fire Nation,Loban, more ...","Team Avatar,Zuko,Iroh,Jet, more ...",Fire,Soldier for hire,Rough RhinoYuyan Archer(formerly),Fire Nation military(formerly)Rough RhinosYuyan Archers(resigned),"""Avatar Day""",Adventure Booklet 3:Ash & Steel,N/A
Viper,"Republic City,United Republic",Water Tribe,N/A,N/A,174AG,Blue,Black,Brown,He/him,"Triple Threat Triad,Hundun,dark spirits","Team Avatar,Metalbending Police Force,Agni Kai Triad,Red Monsoon Triad,Tokuga",Water,Mobster,Leader of the Triple Threat Triad(formerly),Triple Threat Triad,"""Welcome to Republic City""",Turf Wars Part One,Michael Yurchak
Visola,Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,"Analay,Hiroshi,Riley, Genji,Yahshi,Team Avatar",N/A,Water,"Inventor,weaponsspecialist",N/A,Unnamed teamWater Tribe,"""New Recruits""(only appearance)",N/A,N/A
Wai,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,"Xu Ping An,Mok,Yellow Necks,Kang Shensect,Triad of the Golden Wing","Earth Kingdom,Jianzhu,Flying Opera Company",Earth,Daofei,Lieutenant to Mok,Yellow NecksTriad of the Golden Wing,"""The Town""","""Unfinished Business""",N/A
Wakkanai,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,"Varrick,Gajii",N/A,Water,Business magnateInventor,N/A,N/A,Adventure Booklet 5:Water & Mist(only appearance),N/A,N/A
Wan,N/A,Unknown,18,"9,850BG",N/A,Deep copper,Black,Pale,He/him,"Mula, lion turtle,Jaya,Yao,spirits, aye-aye spirit, Raava","Chou family,Vaatu,dark spirits,huntsman",The elements,Avatar,First Avatar,Raava,"""Beginnings, Part 1""(vision)","""Light in the Dark""(vision)",Steven YeunStephen Stanton(old age)
Wan Shi Tong,Spirit World,Spirits,N/A,N/A,N/A,Black,Black,Black and white,He/him,"Knowledge Seekers,Unalaq","Zhao,Team Avatar,Jinora",Talons and beak,N/A,Knowledge spirit,Spirit World,"""The Library""","""All For Nothing""",Héctor Elizondo
Warden (Boiling Rock),Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,"Fire Nation,his bodyguards,Biyu","Chit Sang,Chit Sang's girlfriend,Chit Sang's friend,Suki,Hakoda,Sokka,Zuko",Fire,Warden,Head of theBoiling Rock,Boiling RockCapital City Prison(formerly)[4]Fire NationDomestic Forces,"""The Boiling Rock, Part 1""","Suki, Alone",Wade Williams
Warden (prison rig),Fire Nation,Fire Nation,N/A,N/A,N/A,Bronze,Dark gray,Light,He/him,"Fire Nation,Goro,Juro,Zuko","Haru,Tyro,Boqin,Team Avatar,Earth Kingdom",Fire,Warden,Fire Nation warden,Fire Army,"""Imprisoned""",Avatar: Generations,George Takei
Warehouse worker,"Republic City,United Republic",Republicans,N/A,N/A,N/A,Gray,Gray,Tan,He/him,"Hiroshi Sato,Future Industries,Equalists","Lin Beifong,Korra,Tenzin,benders",N/A,Warehouse worker,N/A,Equalists(formerly)Future Industries,"""The Aftermath""(only appearance)",N/A,Richard Epcar
Weapons store shopkeeper,"Shu Jing,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Gray,Light,He/him,"Piandao,Sokka, Fire Nation",N/A,Fire,Shopkeeper,Shop owner,Fire Nation,"""Sokka's Master""(only appearance)",N/A,Greg Baldwin
Wei (ex-bounty hunter),N/A,Unknown,N/A,N/A,N/A,Gray,Brown,Light,He/him,"Fan,Kinmei,Shu-Hui,June,Nyla,Iroh,Sweet Dumpling",Keung,Blade shears,Bounty hunter(formerly)Llamapacashepherd,Co-owner of theWuyi Tea Cartel,Fan's crew,The Bounty Hunter and the Tea Brewer(only appearance),N/A,N/A
Wei (waterbender),Northern Water Tribe,Water Tribe,85,N/A,N/A,Blue,White,Brown,He/him,"Team Avatar, Water Tribe,Hiryu","Zhao,Zuko,Fire Nation",Water,Waterbending instructor,Waterbending master,Northern Water Tribe,Avatar: The Last Airbender(video game)(only appearance),N/A,N/A
Wei and Wing,"Zaofu,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Olive green,Black,Light tan,He/him,"Metal Clan,Team Avatar","Red Lotus,Earth Empire",Earth,Athletes,Creators ofpower discEarth Empire prisoners(formerly),Beifong familyMetal Clan,"""The Metal Clan""",Ruins of the Empire Part Three,Marcus Toji
Wei Jin,Earth Kingdom,Zhang,N/A,N/A,N/A,Green,Brown,Light,He/him,Zhang,"Jin Wei(Gan Jinand Zhang version), Gan Jin",Earth,N/A,N/A,Zhang tribe,"""The Great Divide""(flashback only)(only appearance)",N/A,N/A
Wei Tia,"Republic City,United Republic",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,Terra Triad,N/A,Earth,Mobster,Chief lieutenant of the Terra Triad,Terra Triad,Adventure Booklet 5:Water & Mist(only appearance),N/A,N/A
Wen,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Dark brown,Dark brown,Light,They/them,"Suki,Kyoshi Warriors,Jiang,Jade,Lee","Kiwaq's pirates,Masaru,Boqin,Mamushi",Earth,Archaeologist,Student,Ba Sing Se University,Avatar: Generations(only appearance),N/A,N/A
Wenli,"Fire Nation Capital,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,Sunlin,"Bai,Burning Ember Gang",Fire,N/A,N/A,N/A,Avatar Legends: The Roleplaying Game-Quickstart(only appearance),N/A,N/A
White Lotus leader,Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,GrayBrown,Brown,He/him,"Tenzin,Aang,Korra,Katara,Yim,Order of the White Lotus",N/A,Water,Order of the White Lotus member,Leader of the Order of the White Lotus,Order of the White Lotus,"""Welcome to Republic City""","""Weaver's Ball""",Stephen Root
Willow,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,She/her,N/A,N/A,Earth,Earth Sage(formerly)Grand Lector,N/A,Earth KingdomEarth Sages(formerly)Royal Learning Halls,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Wo,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,"Earth Kingdom government,Ba Sing Se peace officers,Li,Triad of the Golden Wing",AvatarKyoshi,Earth,Official,Minister in the Earth Kingdom government,Earth Kingdom,"""Unfinished Business""(mentioned only)",N/A,N/A
Won-Yee,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,White,She/her,"Aang,Official Avatar Aang Fan Club,Air Acolytes",N/A,Earth,N/A,Air AcolyteCo-founder of the Ba Sing Se chapter of the Official Avatar Aang Fan Club,Air AcolytesOfficial Avatar Aang Fan Club,The Promise Part Two,The Promise Part Three,N/A
Wong,Earth Kingdom,Earth Kingdom,35,Sometime in 336—326 BG,N/A,Green,Black,Light,He/him,Flying Opera Company,"Jianzhu,Yellow Necks, Earth Kingdom police,Yun,Jianzhu's guardsmen",Earth,Earthbending instructor toAvatarKyoshiDaofei,Earthbending master,Flying Opera Company,"""The Introduction""","""Home Again""",N/A
Wu,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Olive green,Dark brown,Brown,He/him,"Team Avatar,Raiko,Buttercup Raiko,Tenzinand his family,Lin Beifong,Gun, Earth Kingdom Royal Cabinet,United Republic of Nations,Yinand her family,Zhu Li Moon,Rhee,Toph Beifong","Kuvira supporters,Earth Empire,Guan,Sheng,bathroom attendant",Earth,N/A,College student[3](formerly)Prince of the Earth Kingdom(formerly)Earth King,Earth KingdomHou-Ting dynasty,"""After All These Years""",Ruins of the Empire Part Three,Sunil Malhotra
Wu (fortuneteller),Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Gray,Tan,She/her,"Meng,Team Avatar,calm man, Makapu Village",Fire Nation,Earth,Fortuneteller,N/A,Earth Kingdom,"""The Fortuneteller""","""Bato of the Water Tribe""",Tsai Chin
